==8392== NVPROF is profiling process 8392, command: .\DyckNew_Parallel_GPU.exe
==8392== Profiling application: .\DyckNew_Parallel_GPU.exe
==8392== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,us,us,us,
"GPU activities",35.979043,1.725665,156,11.061000,3.040000,14.560000,"[CUDA memcpy DtoD]"
"GPU activities",29.677402,1.423419,240,5.930000,3.296000,12.225000,"bitonic_sort_step(int, long*, int, int)"
"GPU activities",9.611459,0.460995,34,13.558000,10.208000,15.424000,"findDepthAndCountStep(int, char*, long*, int, long*)"
"GPU activities",8.387330,0.402282,30,13.409000,12.544000,15.521000,"scanStep(int, long*, int, long*)"
"GPU activities",7.729386,0.370725,30,12.357000,11.905000,12.896000,"allocateStep(int, long*, int, long*)"
"GPU activities",5.359500,0.257058,32,8.033000,3.872000,10.400000,"propagateParentsAndCountChildrenStep(int, long*, int, long*)"
"GPU activities",0.627170,0.030081,4,7.520000,7.424000,7.649000,"[CUDA memcpy HtoD]"
"GPU activities",0.604465,0.028992,2,14.496000,14.464000,14.528000,"reduce(int, int, char*, long*, long*)"
"GPU activities",0.513729,0.024640,2,12.320000,12.000000,12.640000,"generateRes(int, long*, long*)"
"GPU activities",0.436336,0.020928,2,10.464000,10.080000,10.848000,"childsNumber(int, long*, long*)"
"GPU activities",0.414319,0.019872,2,9.936000,9.440000,10.432000,"inv(long, long*, long*)"
"GPU activities",0.370285,0.017760,2,8.880000,8.864000,8.896000,"findParents(int, long*, long*)"
"GPU activities",0.289577,0.013889,4,3.472000,2.304000,4.545000,"[CUDA memset]"
"API calls",64.897065,141.530700,1,141530.700000,141530.700000,141530.700000,"cudaProfilerStart"
"API calls",18.247389,39.794800,56,710.621000,20.200000,33620.100000,"cudaMallocManaged"
"API calls",9.697416,21.148600,376,56.246000,36.900000,127.600000,"cudaDeviceSynchronize"
"API calls",4.717108,10.287300,160,64.295000,39.100000,130.000000,"cudaMemcpy"
"API calls",1.577826,3.441000,376,9.151000,6.700000,56.600000,"cudaLaunchKernel"
"API calls",0.405668,0.884700,26,34.026000,22.700000,182.500000,"cudaFree"
"API calls",0.170988,0.372900,2,186.450000,85.800000,287.100000,"cudaMalloc"
"API calls",0.159984,0.348900,97,3.596000,0.100000,221.600000,"cuDeviceGetAttribute"
"API calls",0.104225,0.227300,4,56.825000,45.100000,64.700000,"cudaMemset"
"API calls",0.015636,0.034100,1,34.100000,34.100000,34.100000,"cuDeviceTotalMem"
"API calls",0.004356,0.009500,1,9.500000,9.500000,9.500000,"cuDeviceGetPCIBusId"
"API calls",0.001146,0.002500,3,0.833000,0.200000,2.000000,"cuDeviceGetCount"
"API calls",0.000550,0.001200,2,0.600000,0.100000,1.100000,"cuDeviceGet"
"API calls",0.000367,0.000800,1,0.800000,0.800000,0.800000,"cuDeviceGetName"
"API calls",0.000138,0.000300,1,0.300000,0.300000,0.300000,"cuDeviceGetUuid"
"API calls",0.000138,0.000300,1,0.300000,0.300000,0.300000,"cuDeviceGetLuid"

==8392== Unified Memory profiling result:
"Device","Count","Avg Size","Min Size","Max Size","Total Size","Total Time",""
"GeForce GTX 1050 (0)",2,4.000000KB,4.000000KB,4.000000KB,8.000000KB,0.000000,"Host To Device"
"GeForce GTX 1050 (0)",10,26.399414KB,4.000000KB,32.000000KB,264.000000KB,0.000000,"Device To Host"
